癌症	/cancer/
审判	/a trial/to try sb/
渗透	/(lit. and fig.) to permeate/to seep into/(of a product, idea etc) to penetrate (in a population)/(of hostile forces) to infiltrate/(chemistry) osmosis/
慎重	/cautious/careful/prudent/
生存	/to exist/to survive/
生机	/opportunity to live; hope of success/vigor; vitality/
生理	/physiology/
生疏	/unfamiliar/strange/out of practice/not accustomed/
生态	/ecology/
生物	/organism/living creature/life form/biological/CL:個|个[ge4]/
生肖	/one of the twelve animals symbolic of the earthly branches 地支[di4 zhi1]/animal from the Chinese zodiac/
生效	/to take effect/to go into effect/
生锈	/to rust/to grow rusty/to corrode/oxidization/
生育	/to give birth to; to bear/fertility/
牲畜	/farm animal; livestock/
声明	/to state/to declare/statement/declaration/CL:項|项[xiang4],份[fen4]/
声势	/fame and power/prestige/influence/impetus/momentum/
声誉	/reputation/fame/
省会	/provincial capital/
盛产	/to produce in abundance/to be rich in/
盛开	/blooming/in full flower/
盛情	/great kindness/magnificent hospitality/
盛行	/to be in vogue; to be popular; to be prevalent/
胜负	/victory or defeat/the outcome of a battle/
失事	/(of a plane, ship etc) to have an accident (plane crash, shipwreck, vehicle collision etc)/to mess things up/
失误	/lapse/mistake/to make a mistake/fault/service fault (in volleyball, tennis etc)/
失踪	/to be missing/to disappear/unaccounted for/
师范	/teacher-training/pedagogical/normal (school, e.g. Beijing Normal University)/
施加	/to exert (effort or pressure)/
施展	/to use fully/to put to use/
尸体	/dead body/corpse/carcass/CL:具[ju4]/
十足	/ample/complete/hundred percent/a pure shade (of some color)/
识别	/to distinguish; to discern; to identify; to recognize/
时常	/often/frequently/
时而	/occasionally/from time to time/
时光	/time/era/period of time/
时机	/opportunity; opportune moment/
时事	/current trends; the present situation; how things are going/
实惠	/tangible benefit/material advantages/cheap/economical/advantageous (deal)/substantial (discount)/
实力	/strength/
实施	/to implement/to carry out/
实事求是	/lit. to seek truth from facts (idiom)/fig. to be practical and realistic/
实行	/to implement/to carry out/to put into practice/
实质	/substance/essence/
石油	/oil/petroleum/
使命	/mission/long-term task to which one devotes oneself/a calling/
是非	/right and wrong/quarrel/
试图	/to attempt/to try/
试验	/experiment/test/CL:次[ci4],個|个[ge4]/to experiment/experimental/
势必	/to be bound to/undoubtedly will/
势力	/power/influence/a force (military, political etc)/
世代	/for many generations/generation/era/age/
示范	/to demonstrate/to show how to do sth/demonstration/a model example/
示威	/to demonstrate (as a protest)/a demonstration/a military show of force/
示意	/to hint/to indicate (an idea to sb)/
释放	/to release/to set free/to liberate (a prisoner)/to discharge/
事故	/accident/CL:樁|桩[zhuang1],起[qi3],次[ci4]/
事迹	/deed/past achievement/important event of the past/
事件	/event/happening/incident/CL:個|个[ge4]/
事态	/situation/existing state of affairs/
事务	/(political, economic etc) affairs/work/transaction (as in a computer database)/
事项	/matter/item/
事业	/undertaking/project/activity/(charitable, political or revolutionary) cause/publicly funded institution, enterprise or foundation/career/occupation/CL:個|个[ge4]/
适宜	/suitable/appropriate/
视力	/vision/eyesight/
视频	/video/
视线	/line of sight/
视野	/field of view/(fig.) outlook; perspective/
逝世	/to pass away/to die/
收藏	/to collect (works of art, dolls, antiques etc); to put away for safekeeping; (Internet) to bookmark/a collection/
收缩	/to pull back/to shrink/to contract/(physiology) systole/
收益	/earnings/profit/
收音机	/radio/CL:臺|台[tai2]/
手法	/technique/trick/skill/
手势	/gesture; sign; signal/
手艺	/craftmanship/workmanship/handicraft/trade/
首要	/the most important/of chief importance/
首饰	/jewelry/head ornament/
守护	/to guard/to protect/
受罪	/to endure/to suffer/hardships/torments/a hard time/a nuisance/
授予	/to award/to confer/
书法	/calligraphy/handwriting/penmanship/
书籍	/books/works/
书记	/secretary (chief official of a branch of a socialist or communist party)/clerk/scribe/
书面	/in writing/written/
舒畅	/happy; entirely free from worry/
疏忽	/to neglect/to overlook/negligence/carelessness/
疏远	/to drift apart/to become estranged/to alienate/estrangement/
束缚	/to bind; to tie up; to fetter; to shackle/
树立	/to set up/to establish/
数额	/amount/sum of money/fixed number/
衰老	/to age/to deteriorate with age/old and weak/
衰退	/to decline/to fall/to drop/to falter/a decline/recession (in economics)/
率领	/to lead/to command/to head/
涮火锅	/see 涮鍋子|涮锅子[shuan4 guo1 zi5]/
双胞胎	/twin/CL:對|对[dui4]/
爽快	/refreshed/rejuvenated/frank and straightforward/
水利	/water conservancy/irrigation works/
水龙头	/faucet/tap/
水泥	/cement/CL:袋[dai4]/
瞬间	/in an instant; in a flash/
司法	/judicial/(administration of) justice/
司令	/commanding officer/
思念	/to think of/to long for/to miss/
思索	/to think deeply/to ponder/
思维	/(line of) thought/thinking/
私自	/private; personal/secretly; without explicit approval/
斯文	/refined/educate/cultured/intellectual/polite/gentle/
死亡	/to die/death/
四肢	/the four limbs of the body/
寺庙	/temple/monastery/shrine/
肆无忌惮	/absolutely unrestrained/unbridled/without the slightest scruple/
饲养	/to raise/to rear/
苏醒	/to come to/to awaken/to regain consciousness/
俗话	/common saying/proverb/
塑造	/to model; to mold/(fig.) to create (a character, a market, an image etc)/(fig.) (literature) to portray (in words)/
素食	/vegetarian food/to eat a vegetarian diet/
素质	/inner quality/basic essence/
诉讼	/lawsuit/
算数	/to count numbers/to keep to one's word/to hold (i.e. to remain valid)/to count (i.e. to be important)/
随即	/immediately/presently/following which/
随意	/as one wishes/according to one's wishes/at will/voluntary/conscious/
岁月	/years/time/
隧道	/tunnel/
损坏	/to damage/to injure/
索性	/you might as well (do it)/simply/just/
索取	/to ask/to demand/
踏实	/firmly-based/steady/steadfast/to have peace of mind/free from anxiety/Taiwan pr. [ta4 shi2]/
台风	/typhoon/
太空	/outer space/
泰斗	/(abbr. for 泰山北斗[Tai4 Shan1 Bei3 dou3]) distinguished figure/doyen/revered authority/
瘫痪	/paralysis/be paralyzed (body, transportation, etc)/
贪婪	/avaricious/greedy/rapacious/insatiable/avid/
贪污	/to be corrupt/corruption/to embezzle/
弹性	/flexibility/elasticity/
坦白	/honest/forthcoming/to confess/
探测	/to probe; to survey/
探索	/to explore; to probe/
探讨	/to investigate/to probe/
探望	/to visit/to call on sb/to look around/
叹气	/to sigh/to heave a sigh/
倘若	/if; supposing; in case/
滔滔不绝	/(idiom) to produce a torrent of words; to talk on and on/
陶瓷	/pottery and porcelain/ceramics/
陶醉	/to be infatuated with; to be drunk with; to be enchanted with; to revel in/
淘汰	/to wash out/(fig.) to cull/to weed out/to eliminate/to die out/to phase out/
讨好	/to get the desired outcome/to win favor by fawning on sb/to curry favor with/a fruitful outcome to reward one's labor/
特长	/personal strength/one's special ability or strong points/
特定	/special; specific; designated; particular/
特意	/specially/intentionally/
提拔	/to promote to a higher job/to select for promotion/
提炼	/to extract (ore, minerals etc)/to refine/to purify/to process/
提示	/to point out/to remind (sb of sth)/to suggest/suggestion/tip/reminder/notice/
提议	/proposal/suggestion/to propose/to suggest/
题材	/subject matter/
体裁	/genre/style/form of writing/
体积	/volume/bulk/CL:個|个[ge4]/
体谅	/to empathize/to allow (for sth)/to show understanding/to appreciate/
体面	/dignity; prestige; face/honorable; creditable/(of sb's appearance) presentable; respectable/
体系	/system/setup/CL:個|个[ge4]/
天才	/talent/gift/genius/talented/gifted/
天伦之乐	/family love and joy/domestic bliss/
天然气	/natural gas/
天生	/nature/disposition/innate/natural/
天堂	/paradise/heaven/
天赋	/gift/innate skill/
天文	/astronomy/
田径	/track and field (athletics)/
田野	/field/open land/CL:片[pian4]/
挑剔	/picky/fussy/
条款	/clause (of contract or law)/CL:項|项[xiang4]/
条理	/arrangement/order/tidiness/
条约	/treaty/pact/CL:個|个[ge4]/
调和	/harmonious/to mediate; to reconcile/mediation/to compromise/to mix; to blend/blended/to season/seasoning/to placate/
调剂	/to adjust/to balance/to make up a medical prescription/
调节	/to adjust/to regulate/to harmonize/to reconcile (accountancy etc)/
调解	/to mediate/to bring parties to an agreement/
调料	/condiment/seasoning/flavoring/
挑拨	/to incite disharmony/to instigate/
挑衅	/to provoke/provocation/
跳跃	/to jump/to leap/to bound/to skip/
停泊	/to anchor/anchorage/mooring (of a ship)/
停顿	/to halt/to break off/pause (in speech)/
停滞	/stagnation/at a standstill/bogged down/
亭子	/pavilion/
挺拔	/tall and straight/
通货膨胀	/inflation/
通俗	/common/everyday/average/
通讯	/communications/news story/dispatch/CL:個|个[ge4]/
通用	/to use anywhere, anytime (card, ticket etc)/to be used by everyone (language, textbook etc)/(of two or more things) interchangeable/
通缉	/to order the arrest of sb as criminal/to list as wanted/
同胞	/born of the same parents/sibling/fellow citizen/compatriot/
同志	/comrade/(slang) homosexual/CL:個|个[ge4]/
童话	/children's fairy tales/
统筹兼顾	/an overall plan taking into account all factors/
统计	/statistics/to count/to add up/
统统	/totally/
统治	/to rule (a country)/to govern/rule/regime/
投机	/congenial; agreeable/to speculate; to profiteer/
投票	/to vote/vote/
投诉	/complaint/to complain; to register a complaint (esp. as a customer)/
投降	/to surrender/
投掷	/to throw sth a long distance/to hurl/to throw at/to throw (dice etc)/to flip (a coin)/
透露	/to leak out/to divulge/to reveal/
突破	/to break through/to make a breakthrough/to surmount (an obstacle)/(sports) to break through the opponent's defense/
图案	/design; pattern/
徒弟	/apprentice/disciple/
途径	/way; means; channel/
涂抹	/to paint/to smear/to apply (makeup etc)/to doodle/to erase/to obliterate/
土壤	/soil/
吞吞吐吐	/to hum and haw (idiom); to mumble as if hiding sth/to speak and break off, then start again/to hold sth back/
团结	/to unite/unity; solidarity/united/
团体	/group/organization/team/CL:個|个[ge4]/
团圆	/to have a reunion/
推测	/speculation/to conjecture/to surmise/to speculate/
推翻	/to overthrow/
推理	/reasoning/inference/to infer/to deduce/
推论	/to infer/inference/corollary/reasoned conclusion/
推销	/to market/to sell/
脱离	/to separate oneself from/to break away from/diastasis (medicine)/abscission/abjunction (botany)/
拖延	/to delay/to put off/to procrastinate/
托运	/to consign (goods)/to check through (baggage)/
妥当	/appropriate/proper/ready/
妥善	/appropriate; proper/
妥协	/to compromise/to reach terms/a compromise/
椭圆	/oval/ellipse/elliptic/
唾弃	/to spurn/to disdain/
挖掘	/to excavate/to dig/to unearth/
娃娃	/baby/small child/doll/
瓦解	/to collapse; to disintegrate; to crumble/to disrupt; to break up/
歪曲	/to distort/to misrepresent/
外表	/external/outside/outward appearance/
外行	/layman/amateur/
外界	/the outside world/external/
外向	/extroverted (personality)/(economics etc) export-oriented/
完备	/faultless/complete/perfect/to leave nothing to be desired/
完毕	/to finish/to end/to complete/
玩弄	/to play with/to toy with/to dally with/to engage in/to resort to/
玩意儿	/erhua variant of 玩意[wan2 yi4]/
顽固	/stubborn; obstinate/
顽强	/tenacious/hard to defeat/
挽回	/to retrieve/to redeem/
挽救	/to save/to remedy/to rescue/
惋惜	/to regret/to feel that it is a great pity/to feel sorry for sb/
万分	/very much/extremely/one ten thousandth part/
往常	/usual/customary/
往事	/past events/former happenings/
妄想	/to attempt vainly/a vain attempt/delusion/
微不足道	/negligible; insignificant/
微观	/micro-/subatomic/
威风	/might/awe-inspiring authority/impressive/
威力	/might/formidable power/
威望	/prestige/
威信	/prestige/reputation/trust/credit with the people/
危机	/crisis/CL:個|个[ge4]/
违背	/to go against/to be contrary to/to violate/
维持	/to keep; to maintain; to preserve/
维护	/to defend/to safeguard/to protect/to uphold/to maintain/
维生素	/vitamin/
唯独	/only/just (i.e. it is only that...)/all except/unique/
为难	/to feel embarrassed or awkward/to make things difficult (for someone)/to find things difficult (to do or manage)/
为期	/(to be done) by (a certain date)/lasting (a certain time)/
委托	/to entrust/to trust/to commission/
委员	/committee member/
伪造	/to forge/to fake/to counterfeit/
喂（叹词）	hey
未免	/unavoidably/can't help/really/rather/
畏惧	/to fear/to dread/foreboding/
卫星	/satellite/moon/CL:顆|颗[ke1]/
慰问	/to express sympathy, greetings, consolation etc/
蔚蓝	/azure/sky blue/
温带	/temperate zone/
温和	/lukewarm/
文凭	/diploma/
文物	/cultural relic/historical relic/CL:件[jian4],個|个[ge4]/
文献	/document/
文雅	/elegant/refined/
文艺	/literature and art/
问世	/to be published/to come out/
乌黑	/jet-black/dark/
污蔑	/to slander/to smear/to tarnish/
诬陷	/to entrap/to frame/to plant false evidence against sb/
无比	/incomparable/matchless/
无偿	/free; no charge; at no cost/
