"保持⠀";"bǎochí";"/to keep/to maintain/to hold/to preserve//to keep/to maintain/to hold/to preserve";"保 (to protect)";"Other words using this character: 保护 (protect); 保证 (guarantee); 保存 (to conserve); 保留 (retain); 保险 (insurance)";"持 (to hold)";"Other words using this character: 坚持 (persist); 支持 (support); 持续 (continue); 主持 (host)";"❈ 保持冷静。";"<i>bǎochí lěngjìng.</i><br></br>Maintain composure.";"❈ 保持健康的生活方式。";"<i>bǎochí jiànkāng de shēnghuó fāngshì.</i><br></br>Maintain a healthy lifestyle.";"❈ 保持微笑。";"<i>bǎochí wēixiào.</i><br></br>Keep smiling.";"🐇 魏无羡努力保持自己的微笑，不让别人看出内心的痛苦。";"<i>wèiwúxiàn nǔlì bǎochí zìjǐ de wēixiào, bùràng biéren kànchū nèixīn de tòngkǔ.</i><br></br>Wei Wuxian tries to maintain his smile and not let others see his inner pain.";"♻❈ 危险来临时，我们要保持冷静。";"<i>wēixiǎn lái línshí, wǒmen yào bǎochí lěngjìng.</i><br></br>When danger comes, we need to stay calm."
"果然⠀";"guǒrán";"/really/sure enough/as expected/if indeed//really/sure enough/as expected/if indeed";"果 (fruit)";"Other words using this character: 水果 (fruit); 苹果 (apple); 如果 (if); 果汁 (fruit juice); 结果 (outcome); 效果 (effect); 果实 (fruit); 成果 (achievement); 后果 (consequences)";"然 (correct)";"Other words using this character: 当然 (certainly); 然后 (Then); 突然 (sudden); 既然 (since); 竟然 (unexpectedly); 然而 (however); 仍然 (still); 自然 (natural); 必然 (inevitable); 不然 (otherwise)";"❈ 她果然是对的。";"<i>tā guǒrán shì duì de.</i><br></br>Sure enough, she is right.";"❈ 他果然没有来。";"<i>tā guǒrán méiyǒu lái.</i><br></br>He really didn't come.";"❈ 果然如此。";"<i>guǒránrúcǐ.</i><br></br>As expected.";"🐇 蓝忘机果然没有忘记魏无羡的生日。";"<i>lánwàngjī guǒrán méiyǒu wàngjì wèiwúxiàn de shēngrì.</i><br></br>Sure enough, Lan Wangji did not forget Wei Wuxian's birthday."
"过分⠀";"guòfèn";"/excessive/undue/overly//excessive/undue/overly";"过 (to pass)";"Other words using this character: 过 (to pass); 过去 ((verb suffix)); 经过 (pass); 难过 (sad); 不过 (however); 超过 (surpass); 过程 (process); 通过 (to pass through); 度过 (pass); 过敏 (allergic)";"分 (divide)";"Other words using this character: 分钟 (minute); 分 (divide); 百分之 (percent); 部分 (part); 十分 (very); 充分 (ample); 分布 (distribute); 分手 (break up); 成分 (component); 分别 (part)";"❈ 这个惩罚对他来说有些过分了。";"<i>zhège chéngfá duì tā láishuō yǒuxiē guòfèn le.</i><br></br>This punishment is a bit too much for him.";"❈ 他的要求有些过分了。";"<i>tā de yāoqiú yǒuxiē guòfèn le.</i><br></br>His demands are a bit excessive.";"❈ 她的批评有些过分了。";"<i>tā de pīpíng yǒuxiē guòfèn le.</i><br></br>Her criticism is a bit too much.";"🐇 魏无羡的调皮有时候会过分。";"<i>wèiwúxiàn de tiáopí yǒushíhou huì guòfèn.</i><br></br>Wei Wuxian's mischief can be excessive at times.";"♻❈ 他的态度未免有些过分。";"<i>tā de tàidu wèimiǎn yǒuxiē guòfèn.</i><br></br>His attitude is rather excessive."
"过期⠀";"guòqī";"/to be overdue/to exceed the time limit/to expire (as in expiration date)//to be overdue/to exceed the time limit/to expire (as in expiration date)";"过 (to pass)";"Other words using this character: 过 (to pass); 过去 ((verb suffix)); 经过 (pass); 难过 (sad); 不过 (however); 超过 (surpass); 过程 (process); 通过 (to pass through); 度过 (pass); 过敏 (allergic)";"期 (period)";"Other words using this character: 星期 (week); 学期 (term); 期待 (look forward to); 期间 (period); 日期 (date); 时期 (period)";"❈ 我的驾照过期了。";"<i>wǒ de jiàzhào guòqī le.</i><br></br>My driver's license has expired.";"❈ 这个食品已经过期了。";"<i>zhège shípǐn yǐjīng guòqī le.</i><br></br>This food has expired.";"❈ 这个产品的保质期已经过期了。";"<i>zhège chǎnpǐn de bǎozhìqī yǐjīng guòqī le.</i><br></br>The shelf life of this product has expired.";"🐇 魏无羡发现自己的符咒已经过期，只好匆匆续了一遍。";"<i>wèiwúxiàn fāxiànzìjǐ de fúzhòu yǐjīng guòqī, zhǐhǎo cōngcōng xù le yībiàn.</i><br></br>Wei Wuxian found that his talisman had expired, so he hurriedly renewed it.";"♻🐇 金凌的护照过期了，需要尽快办理新的。";"<i>jīnlíng de hùzhào guòqī le, xūyào jìnkuài bànlǐ xīn de.</i><br></br>Jin Ling's passport has expired and needs to be renewed as soon as possible."
"哈⠀";"hā||hā||hǎ";"/a Pekinese; a pug/(dialect) to scold//abbr. for 哈薩克斯坦|哈萨克斯坦[Hā sà kè sī tǎn], Kazakhstan; abbr. for 哈爾濱|哈尔滨[Hā ěr bīn], Harbin||(interj.) ha!; (onom. for laughter); (slang) to be infatuated with; to adore; (bound form) husky (dog) (abbr. for 哈士奇[hā shì qí])||a Pekinese; a pug; (dialect) to scold";"哈 (infatuated)";"There are no other HSK words in this level (or before) using this character.";"❈ 她家养了一只哈。";"<i>tā jiāyǎng le yīzhī hā.</i><br></br>She has a Pekinese at home.";"❈ 他总是对着哈叫。";"<i>tā zǒngshì duì zhe hā jiào.</i><br></br>He always scolds.";"❈ 哈的眼睛很大很圆。";"<i>hā de yǎnjīng hěndà hěnyuán.</i><br></br>The Pekinese's eyes are big and round.";"🐇 温情常常哈着温宁，让他不要胡闹。";"<i>wēnqíng chángcháng hāzhe wēnníng, ràng tā bùyào húnào.</i><br></br>Wen Qing often scolds Wen Ning, telling him not to make a fuss.";"♻🐇 魏无羡变身猴子，逗得蓝忘机哈哈大笑。";"<i>wèiwúxiàn biànshēn hóuzi, dòudé lánwàngjī hāhādàxiào.</i><br></br>Wei Wuxian transformed into a monkey, making Lan Wangji burst into laughter."
"海关⠀";"hǎiguān";"/customs (i.e. border crossing inspection)/CL:個|个[ge4]//customs (i.e. border crossing inspection)/CL:个[gè]";"海 (ocean)";"Other words using this character: 海洋 (ocean); 海鲜 (seafood)";"关 (close)";"Other words using this character: 没关系 (it's okay); 关 (close); 关系 (relationship); 关心 (concerned); 关于 (pertaining to); 关键 (crucial); 关闭 (to close); 相关 (related)";"❈ 我们需要在海关办理手续。";"<i>wǒmen xūyào zài hǎiguān bànlǐshǒuxù.</i><br></br>We need to go through customs procedures.";"❈ 他在海关工作。";"<i>tā zài hǎiguān gōngzuò.</i><br></br>He works at the customs.";"❈ 海关的工作很繁忙。";"<i>hǎiguān de gōngzuò hěn fánmáng.</i><br></br>The work at customs is very busy.";"🐇 蓝曦臣在海关处发现了一批走私的魔物。";"<i>lánxīchén zài hǎiguān chù fāxiàn le yīpī zǒusī de mówù.</i><br></br>Lan Xichen discovered a batch of smuggled demonic creatures at the customs.";"♻❈ 海关没收了他的行李。";"<i>hǎiguān mòshōu le tā de xíngli.</i><br></br>Customs confiscated his luggage."
"喊⠀";"hǎn";"/to yell/to shout/to call out for (a person)//to yell/to shout/to call out for (a person)";"喊 (yell)";"There are no other HSK words in this level (or before) using this character.";"❈ 她生气地喊了他一声。";"<i>tā shēngqì dìhǎn le tā yīshēng.</i><br></br>She angrily shouted at him.";"❈ 孩子们在操场上喊得很开心。";"<i>háizi men zài cāochǎngshàng hǎn dé hěn kāixīn.</i><br></br>The children are shouting happily on the playground.";"❈ 他在街上喊了我一声。";"<i>tā zài jiēshang hǎn le wǒ yīshēng.</i><br></br>He called out to me on the street.";"🐇 魏无羡在山上喊了很久，终于等到了蓝忘机。";"<i>wèiwúxiàn zài shānshàng hǎn le hěn jiǔ, zhōngyú děngdào le lánwàngjī.</i><br></br>Wei Wuxian shouted for a long time on the mountain, finally waiting for Lan Wangji.";"♻🐇 江澄使劲儿喊了一声“快停下！”";"<i>jiāngchéng shǐjìnr hǎn le yīshēng “ kuài tíngxià! ”</i><br></br>Jiang Cheng shouted ""Stop!"" loudly."
"行业⠀";"hángyè";"/trade; profession; industry; business//trade; profession; industry; business";"行 (walk)";"Other words using this character: 行李箱 (suitcase); 银行 (bank); 自行车 (bicycle); 进行 (conduct); 举行 (hold); 流行 (spread); 旅行 (travel); 行 (walk); 行为 (behavior); 行动 (operation)";"业 (occupation)";"Other words using this character: 作业 (homework); 毕业 (graduation); 职业 (occupation); 专业 (specialty); 工业 (industry); 农业 (agriculture); 业余 (amateur); 企业 (enterprise); 商业 (business); 失业 (unemployment)";"❈ 这个行业的竞争非常激烈。";"<i>zhège hángyè de jìngzhēng fēicháng jīliè.</i><br></br>The competition in this industry is very fierce.";"❈ 她选择了一个有前途的行业。";"<i>tā xuǎnzé le yīgè yǒu qiántú de hángyè.</i><br></br>She chose a promising profession.";"❈ 他在IT行业工作。";"<i>tā zài it hángyè gōngzuò.</i><br></br>He works in the IT industry.";"🐇 温情在医学行业中有着丰富的经验，受到了许多人的信赖。";"<i>wēnqíng zài yīxué hángyè zhōng yǒuzhe fēngfù de jīngyàn, shòudào le xǔduō rén de xìnlài.</i><br></br>Wen Qing has rich experience in the medical industry and is trusted by many.";"♻❈ 在这个行业，要吃苦。";"<i>zài zhège hángyè, yào chīkǔ.</i><br></br>In this industry, you have to bear hardships."
"好客⠀";"hàokè";"/hospitality/to treat guests well/to enjoy having guests/hospitable/friendly//hospitality/to treat guests well/to enjoy having guests/hospitable/friendly";"好 (good)";"Other words using this character: 好 (good); 好吃 (fond of eating); 爱好 (hobby); 好处 (benefit); 好像 (seem like); 友好 (friendly); 正好 (just); 只好 (have to); 最好 (best); 好奇 (curious)";"客 (customer)";"Other words using this character: 不客气 (you're welcome); 客人 (visitor); 顾客 (customer); 客厅 (living room); 客观 (objective)";"❈ 这个地方的人们都很好客，让我觉得很温暖。";"<i>zhège dìfāng de rénmen dōu hěn hàokè, ràng wǒ juéde hěn wēnnuǎn.</i><br></br>The people in this place are very hospitable, which makes me feel very warm.";"❈ 他们一家人都很好客，每次来都会受到热情款待。";"<i>tāmen yījiārén dōu hěn hàokè, měicì lái dōu huì shòudào rèqíng kuǎndài.</i><br></br>The whole family is very hospitable, and we are warmly received every time we visit.";"❈ 他是一个好客的人，总是喜欢邀请朋友来家里做客。";"<i>tā shì yīgè hàokè de rén, zǒngshì xǐhuan yāoqǐng péngyou lái jiālǐ zuòkè.</i><br></br>He is a hospitable person and always likes to invite friends to his home.";"🐇 温情是个好客的人，经常邀请朋友来家里做客。";"<i>wēnqíng shì gè hàokè de rén, jīngcháng yāoqǐng péngyou lái jiālǐ zuòkè.</i><br></br>Wen Qing is a hospitable person and often invites friends to her home."
"和平⠀";"hépíng";"/peace/peaceful//peace; peaceful; Heping District of Shenyang city 瀋陽市|沈阳市[Shěn yáng shì], Liaoning; Heping or Hoping Township in Taichung County 臺中縣|台中县[Tái zhōng Xiàn], Taiwan";"和 (together)";"Other words using this character: 和 (together); 暖和 (warm)";"平 (flat)";"Other words using this character: 水平 (level); 平时 (ordinarily); 公平 (fair); 平 (flat); 平常 (ordinary); 平方 (square); 平静 (tranquil); 平安 (safe); 平等 (equal); 平衡 (balance)";"❈ 和平相处是我们的目标。";"<i>hépíngxiāngchù shì wǒmen de mùbiāo.</i><br></br>Living in peace is our goal.";"❈ 和平的生活环境对孩子成长很重要。";"<i>hépíng de shēnghuó huánjìng duì háizi chéngzhǎng hěn zhòngyào.</i><br></br>A peaceful living environment is important for children's growth.";"❈ 我们都希望世界和平。";"<i>wǒmen dōu xīwàng shìjiè hépíng.</i><br></br>We all hope for world peace.";"🐇 温情一直渴望和平，希望修真界不再有纷争。";"<i>wēnqíng yīzhí kěwàng hépíng, xīwàng xiūzhēnjiè bùzài yǒu fēnzhēng.</i><br></br>Wen Qing has always longed for peace, hoping that there will be no more disputes in the cultivation world.";"♻❈ 蓝色代表着宁静和平静。";"<i>lánsè dàibiǎo zhe níngjìng hé píngjìng.</i><br></br>Blue represents tranquility and calmness."
"何况⠀";"hékuàng";"/let alone/to say nothing of/besides/what's more//let alone/to say nothing of/besides/what's more";"何 (what)";"Other words using this character: 任何 (any); 何必 (there is no need); 如何 (how)";"况 (moreover)";"Other words using this character: 情况 (circumstances); 状况 (condition)";"❈ 她连英语都不会说，何况其他语言呢？";"<i>tā lián yīngyǔ dōu bùhuì shuō, hékuàng qítā yǔyán ne?</i><br></br>She can't even speak English, let alone other languages.";"❈ 他连自己的事情都处理不好，何况帮助别人呢？";"<i>tā lián zìjǐ de shìqing dōu chǔlǐ bùhǎo, hékuàng bāngzhù biéren ne?</i><br></br>He can't even handle his own affairs, let alone helping others.";"❈ 他连基本的礼貌都不懂，何况做好事呢？";"<i>tā lián jīběn de lǐmào dōu bù dǒng, hékuàng zuòhǎoshì ne?</i><br></br>He doesn't even understand basic manners, let alone doing good deeds.";"🐇 蓝湛一向心软，何况是对待自己的弟弟？";"<i>lánzhàn yīxiàng xīnruǎn, hékuàng shì duìdài zìjǐ de dìdi?</i><br></br>Lan Zhan has always been soft-hearted, let alone when it comes to his own brother."
"合影⠀";"héyǐng";"/to take a joint photo/group photo//to take a joint photo/group photo";"合 (join)";"Other words using this character: 符合 (agree); 合格 (meet the standard); 合适 (suitable); 适合 (suit); 合法 (legal); 合理 (reasonable); 合同 (contract); 合作 (cooperate); 集合 (gather); 结合 (combine)";"影 (shadow)";"Other words using this character: 电影 (movie); 影响 (influence); 摄影 (photography); 影子 (shadow)";"❈ 我们一起合影留念吧。";"<i>wǒmen yīqǐ héyǐngliúniàn bā.</i><br></br>Let's take a group photo together.";"❈ 我们全家人一起合影了。";"<i>wǒmen quánjiārén yīqǐ héyǐng le.</i><br></br>Our whole family took a group photo together.";"❈ 他们在海边合影。";"<i>tāmen zài hǎibiān héyǐng.</i><br></br>They took a group photo by the seaside.";"🐇 魏无羡和蓝忘机一起合影留念。";"<i>wèiwúxiàn hé lánwàngjī yīqǐ héyǐngliúniàn.</i><br></br>Wei Wuxian and Lan Wangji took a group photo together.";"♻🐇 蓝曦臣在抽屉里找到了一张小时候和兄弟的合影图片，泛起微笑。";"<i>lánxīchén zài chōuti lǐ zhǎodào le yīzhāng xiǎoshíhou hé xiōngdì de héyǐng túpiàn, fànqǐ wēixiào.</i><br></br>Lan Xichen found a childhood group photo with his brothers in the drawer, bringing a smile to his face."
"核心⠀";"héxīn";"/core; nucleus//core; nucleus";"核 (nucleus)";"There are no other HSK words in this level (or before) using this character.";"心 (heart)";"Other words using this character: 担心 (worried); 放心 (reassured); 关心 (concerned); 小心 (careful); 粗心 (careless); 开心 (happy); 耐心 (patience); 伤心 (grieve); 心情 (mood); 信心 (confidence)";"❈ 这个计划的核心思想是创新。";"<i>zhège jìhuà de héxīnsīxiǎng shì chuàngxīn.</i><br></br>The core idea of this plan is innovation.";"❈ 这个问题的核心是什么？";"<i>zhège wèntí de héxīn shì shénme?</i><br></br>What is the core of this problem?";"❈ 他是公司的核心成员之一。";"<i>tā shì gōngsī de héxīnchéngyuán zhīyī.</i><br></br>He is one of the core members of the company.";"🐇 蓝忘机是云深的核心领袖。";"<i>lánwàngjī shì yúnshēn de héxīn lǐngxiù.</i><br></br>Lan Wangji is the core leader of Cloud Recesses.";"♻❈ 她的机智让她成为了团队的核心。";"<i>tā de jīzhì ràng tā chéngwéi le tuánduì de héxīn.</i><br></br>Her resourcefulness made her the core of the team."
"后果⠀";"hòuguǒ";"/consequences/aftermath//consequences/aftermath";"后 (behind)";"Other words using this character: 后面 (the back); 后来 (afterwards); 然后 (Then); 最后 (final); 后悔 (regret); 后背 (the back); 落后 (to fall behind)";"果 (fruit)";"Other words using this character: 水果 (fruit); 苹果 (apple); 如果 (if); 果汁 (fruit juice); 结果 (outcome); 效果 (effect); 果实 (fruit); 成果 (achievement); 果然 (really)";"❈ 这个决定会带来不可预料的后果。";"<i>zhège juédìng huì dàilái bùkě yùliào de hòuguǒ.</i><br></br>This decision will bring unforeseeable consequences.";"❈ 不负责任的行为会带来严重后果。";"<i>bùfùzérèn de xíngwéi huì dàilái yánzhònghòuguǒ.</i><br></br>Irresponsible behavior will bring serious consequences.";"❈ 他不顾后果地做了这件事。";"<i>tā bùgùhòuguǒ dì zuò le zhèjiàn shì.</i><br></br>He did this without considering the consequences.";"🐇 温情的决定带来了意想不到的后果，让她陷入了困境。";"<i>wēnqíng de juédìng dàilái le yìxiǎngbùdào de hòuguǒ, ràng tā xiànrù le kùnjìng.</i><br></br>Wen Qing's decision led to unexpected consequences, plunging her into a predicament.";"♻❈ 自己的选择要自己承担后果。";"<i>zìjǐ de xuǎnzé yào zìjǐ chéngdān hòuguǒ.</i><br></br>You have to bear the consequences of your own choices."
