"唉⠀";"āi||ài";"/alas/oh dear//interjection or grunt of agreement or recognition (e.g. yes, it's me!); to sigh||alas; oh dear";"唉 (sigh)";"There are no other HSK words in this level (or before) using this character.";"❈ 唉，我真的不知道该怎么办。";"<i>āi, wǒ zhēnde bù zhīdào gāi zěnmebàn.</i><br></br>Oh dear, I really don't know what to do.";"❈ 唉，这个消息真让人难过。";"<i>āi, zhège xiāoxi zhēnràngrén nánguò.</i><br></br>Alas, this news is really sad.";"❈ 唉，这件事真让人伤心。";"<i>āi, zhèjiàn shì zhēnràngrén shāngxīn.</i><br></br>Alas, this is really heartbreaking.";"🐇 唉，这世上怎么会有如此狡诈的人。";"<i>āi, zhè shìshàng zěnme huì yǒu rúcǐ jiǎozhà de rén.</i><br></br>Oh dear, how can there be such cunning people in this world."
"爱心⠀";"àixīn";"/compassion/kindness/care for others/love/CL:片[pian4]/charity (bazaar, golf day etc)/heart (the symbol ♥)//compassion/kindness/care for others/love/CL:片[piàn]/charity (bazaar, golf day etc)/heart (the symbol ♥)";"爱 (love)";"Other words using this character: 爱 (love); 爱好 (hobby); 可爱 (adorable); 爱情 (romance); 亲爱 (dear); 热爱 (love ardently); 爱护 (cherish); 爱惜 (cherish); 恋爱 (love); 疼爱 (love dearly)";"心 (heart)";"Other words using this character: 担心 (worried); 放心 (reassured); 关心 (concerned); 小心 (careful); 粗心 (careless); 开心 (happy); 耐心 (patience); 伤心 (grieve); 心情 (mood); 信心 (confidence)";"❈ 她的爱心感动了很多人。";"<i>tā de àixīn gǎndòng le hěnduō rén.</i><br></br>Her compassion touched many people.";"❈ 这个慈善机构一直在倡导爱心。";"<i>zhège císhànjīgòu yīzhí zài chàngdǎo àixīn.</i><br></br>This charity has been advocating love and compassion.";"❈ 送一颗爱心给需要帮助的人。";"<i>sòng yīkē àixīn gěi xūyào bāngzhù de rén.</i><br></br>Send a heart to those in need of help.";"🐇 温情在慈善晚宴上展现了她的爱心。";"<i>wēnqíng zài císhàn wǎnyàn shàng zhǎnxiàn le tā de àixīn.</i><br></br>Wen Qing showed her compassion at the charity gala.";"♻🐇 魏无羡对待小狗总是充满爱心，他特别喜欢犬。";"<i>wèiwúxiàn duìdài xiǎogǒu zǒngshì chōngmǎn àixīn, tā tèbié xǐhuan quǎn.</i><br></br>Wei Wuxian is always loving towards puppies; he especially likes dogs."
"重复⠀";"chóngfù";"/variant of 重複|重复[chong2 fu4]//to repeat; to duplicate; CL:个[gè]";"重 (heavy)";"Other words using this character: 重要 (important); 重新 (again); 严重 (serious); 重 (heavy); 重点 (focus); 重视 (value); 尊重 (to respect); 重大 (important); 重量 (weight)";"复 (return)";"Other words using this character: 复习 (review); 复印 (photocopy); 复杂 (complicated); 复制 (copy); 反复 (repeatedly); 恢复 (recover)";"❈ 请不要重复同样的错误。";"<i>qǐng bùyào chóngfù tóngyàng de cuòwù.</i><br></br>Please do not repeat the same mistake.";"❈ 这个故事我已经听过很多次了，不要重复了。";"<i>zhège gùshi wǒ yǐjīng tīngguò hěn duōcì le, bùyào chóngfù le.</i><br></br>I have heard this story many times, don't repeat it.";"❈ 他重复地说着同样的话。";"<i>tā chóngfù dì shuō zhe tóngyàng dehuà.</i><br></br>He repeated the same words over and over.";"🐇 蓝曦臣的微笑给人留下了深刻的印象，让人念念不忘，如数家珍般重复在脑海中。";"<i>lánxīchén de wēixiào gěi rén liúxià le shēnkè de yìnxiàng, ràng rén niànniànbùwàng, rúshǔjiāzhēn bān chóngfù zài nǎohǎizhōng.</i><br></br>Lan Xichen's smile left a deep impression, unforgettable and repeatedly appearing in the mind like a cherished memory."
"宠物⠀";"chǒngwù";"/house pet//house pet";"宠 (love)";"There are no other HSK words in this level (or before) using this character.";"物 (thing)";"Other words using this character: 动物 (animal); 礼物 (gift); 购物 (shopping); 植物 (plant); 博物馆 (museum); 人物 (person); 事物 (thing); 物质 (matter); 食物 (food); 物理 (physics)";"❈ 她对宠物有着特别的爱。";"<i>tā duì chǒngwù yǒuzhe tèbié de ài.</i><br></br>She has a special love for house pets.";"❈ 这个宠物店有很多可爱的小动物。";"<i>zhège chǒngwùdiàn yǒu hěnduō kěài de xiǎo dòngwù.</i><br></br>This pet shop has many lovely animals.";"❈ 他养了一只狗作为宠物。";"<i>tāyǎng le yīzhī gǒu zuòwéi chǒngwù.</i><br></br>He has a dog as a house pet.";"🐇 蓝曦臣的宠物很多，有猫有狗还有鸟。";"<i>lánxīchén de chǒngwù hěnduō, yǒu māo yǒu gǒu háiyǒu niǎo.</i><br></br>Lan Xichen has many house pets, including cats, dogs, and birds.";"♻❈ 她喜欢饲养各种各样的宠物。";"<i>tā xǐhuan sìyǎng gèzhǒnggèyàng de chǒngwù.</i><br></br>She likes to raise all kinds of pets."
"抽象⠀";"chōuxiàng";"/abstract/abstraction/CL:種|种[zhong3]//abstract/abstraction/CL:种[zhǒng]";"抽 (draw)";"Other words using this character: 抽烟 (smoke); 抽屉 (drawer)";"象 (elephant)";"Other words using this character: 印象 (impression); 大象 (elephant); 现象 (phenomenon); 象征 (symbol); 对象 (target); 想象 (imagine); 象棋 (Chinese chess); 形象 (image)";"❈ 她的画总是充满了抽象的元素。";"<i>tā de huà zǒngshì chōngmǎn le chōuxiàng de yuánsù.</i><br></br>Her paintings are always full of abstract elements.";"❈ 这个问题需要从抽象到具体来分析。";"<i>zhège wèntí xūyào cóng chōuxiàng dào jùtǐ lái fēnxī.</i><br></br>This problem needs to be analyzed from abstract to concrete.";"❈ 这个概念太抽象了，我理解不了。";"<i>zhège gàiniàn tài chōuxiàng le, wǒ lǐjiě buliǎo.</i><br></br>This concept is too abstract, I can't understand it.";"🐇 蓝忘机的琴音总是带着一种抽象的美感。";"<i>lánwàngjī de qínyīn zǒngshì dài zhe yīzhǒng chōuxiàng de měigǎn.</i><br></br>Lan Wangji's music always carries a sense of abstract beauty.";"♻❈ 这个概念有很多抽象意思。";"<i>zhège gàiniàn yǒu hěnduō chōuxiàng yìsi.</i><br></br>This concept has many abstract meanings."
"丑⠀";"chǒu";"/shameful/ugly/disgraceful//clown; 2nd earthly branch: 1-3 a.m., 12th solar month (6th January to 3rd February), year of the Ox; ancient Chinese compass point: 30°; shameful; ugly; disgraceful; surname Chou";"丑 (ugly)";"There are no other HSK words in this level (or before) using this character.";"❈ 这件衣服太丑了，我不想穿。";"<i>zhèjiàn yīfú tàichǒu le, wǒ bùxiǎng chuān.</i><br></br>This piece of clothing is too ugly, I don't want to wear it.";"❈ 她觉得自己很丑。";"<i>tā juéde zìjǐ hěnchǒu.</i><br></br>She thinks she is very ugly.";"❈ 他的行为真是太丑了。";"<i>tā de xíngwéi zhēnshi tàichǒu le.</i><br></br>His behavior is really disgraceful.";"🐇 蓝曦臣不在意外貌丑陋，只在乎内心的美好。";"<i>lánxīchén bùzàiyì wàimào chǒulòu, zhǐzàihū nèixīn de měihǎo.</i><br></br>Lan Xichen doesn't care about the ugly appearance, only the beauty of the heart.";"♻❈ 这篇报道揭露了公司的丑闻。";"<i>zhèpiān bàodào jiēlù le gōngsī de chǒuwén.</i><br></br>This report exposed the scandal of the company."
"出口⠀";"chūkǒu";"/an exit/CL:個|个[ge4]/to speak/to export/(of a ship) to leave port//an exit/CL:个[gè]/to speak/to export/(of a ship) to leave port";"出 (go out)";"Other words using this character: 出租车 (taxi); 出 (go out); 出差 (business trip); 出发 (set off); 出生 (born); 出现 (to appear); 演出 (perform); 出示 (show); 出席 (attend); 突出 (prominent)";"口 (mouth)";"Other words using this character: 口 (mouth); 入口 (entrance); 借口 (excuse); 口味 (taste); 进口 (import); 人口 (population); 胃口 (appetite)";"❈ 这个商店的产品出口到很多国家。";"<i>zhège shāngdiàn de chǎnpǐn chūkǒu dào hěnduō guójiā.</i><br></br>The products of this store are exported to many countries.";"❈ 船只在黎明时分出口。";"<i>chuánzhī zài límíng shífēn chūkǒu.</i><br></br>The ship leaves port at dawn.";"❈ 请从这个出口离开。";"<i>qǐng cóng zhège chūkǒu líkāi.</i><br></br>Please leave from this exit.";"🐇 蓝曦臣在大楼火灾中负责指挥疏散，确保每个人都找到出口。";"<i>lánxīchén zài dàlóu huǒzāi zhōng fùzé zhǐhuī shūsàn, quèbǎo měige rén dōu zhǎodào chūkǒu.</i><br></br>Lan Xichen was in charge of commanding the evacuation during the building fire, ensuring that everyone found the exit.";"♻❈ 她拿着行李走向出口。";"<i>tā ná zhe xíngli zǒuxiàng chūkǒu.</i><br></br>She walked towards the exit with her luggage."
"出示⠀";"chūshì";"/to show/to take out and show to others/to display//to show/to take out and show to others/to display";"出 (go out)";"Other words using this character: 出租车 (taxi); 出 (go out); 出差 (business trip); 出发 (set off); 出生 (born); 出现 (to appear); 演出 (perform); 出口 (export); 出席 (attend); 突出 (prominent)";"示 (show)";"Other words using this character: 表示 (express); 显示 (to show)";"❈ 请出示你的身份证。";"<i>qǐng chūshì nǐ de shēnfènzhèng.</i><br></br>Please show your ID.";"❈ 他出示了他的成绩单。";"<i>tā chūshì le tā de chéngjìdān.</i><br></br>He showed his transcript.";"❈ 她出示了她的画作。";"<i>tā chūshì le tā de huàzuò.</i><br></br>She displayed her paintings.";"🐇 温情出示了她的医术证书。";"<i>wēnqíng chūshì le tā de yīshù zhèngshū.</i><br></br>Wen Qing presented her medical certificate.";"♻❈ 请出示您的身份证。";"<i>qǐng chūshì nín de shēnfènzhèng.</i><br></br>Please show your ID card."
"出席⠀";"chūxí";"/to attend/to participate/present//to attend/to participate/present";"出 (go out)";"Other words using this character: 出租车 (taxi); 出 (go out); 出差 (business trip); 出发 (set off); 出生 (born); 出现 (to appear); 演出 (perform); 出口 (export); 出示 (show); 突出 (prominent)";"席 (mat)";"Other words using this character: 主席 (chairperson)";"❈ 他因为生病没有出席会议。";"<i>tā yīnwèi shēngbìng méiyǒu chūxíhuìyì.</i><br></br>He didn't attend the meeting because he was sick.";"❈ 请务必出席我的生日派对。";"<i>qǐng wùbì chūxí wǒ de shēngripàiduì.</i><br></br>Please make sure to attend my birthday party.";"❈ 出席会议是我们的责任。";"<i>chūxíhuìyì shì wǒmen de zérèn.</i><br></br>Attending the meeting is our responsibility.";"❈ 出席这个活动对你的职业发展有好处。";"<i>chūxí zhège huódòng duì nǐ de zhíyè fāzhǎn yǒu hǎochu.</i><br></br>Attending this event is beneficial for your career development.";"❈ 他出席了婚礼。";"<i>tā chūxí le hūnlǐ.</i><br></br>He attended the wedding."
"除非⠀";"chúfēi";"/only if (..., or otherwise, ...)/only when/only in the case that/unless//only if (..., or otherwise, ...)/only when/only in the case that/unless";"除 (get rid of)";"Other words using this character: 除了 (besides); 除夕 (New Year's Eve); 删除 (delete)";"非 (not)";"Other words using this character: 非常 (very); 非 (not)";"❈ 除非你同意，否则我们不会开始。";"<i>chúfēi nǐ tóngyì, fǒuzé wǒmen bùhuì kāishǐ.</i><br></br>We won't start unless you agree.";"❈ 除非下雨，否则我们会去公园。";"<i>chúfēi xiàyǔ, fǒuzé wǒmen huì qù gōngyuán.</i><br></br>We will go to the park only if it rains.";"❈ 除非必要，我们不会采取行动。";"<i>chúfēi bìyào, wǒmen bùhuì cǎiqǔxíngdòng.</i><br></br>We won't take action unless necessary.";"🐇 除非蓝忘机亲口承认，否则魏无羡不会相信。";"<i>chúfēi lánwàngjī qīnkǒu chéngrèn, fǒuzé wèiwúxiàn bùhuì xiāngxìn.</i><br></br>Wei Wuxian won't believe it unless Lan Wangji admits it himself."
"除夕⠀";"chúxī";"/lunar New Year's Eve//lunar New Year's Eve";"除 (get rid of)";"Other words using this character: 除了 (besides); 除非 (unless); 删除 (delete)";"夕 (dusk)";"There are no other HSK words in this level (or before) using this character.";"❈ 除夕的晚餐通常很丰盛。";"<i>chúxī de wǎncān tōngcháng hěn fēngshèng.</i><br></br>The dinner on Lunar New Year's Eve is usually sumptuous.";"❈ 我们家人会在除夕团聚。";"<i>wǒmen jiārén huì zài chúxī tuánjù.</i><br></br>Our family will reunite on Lunar New Year's Eve.";"❈ 除夕是中国的传统节日。";"<i>chúxī shì zhōngguó de chuántǒngjiérì.</i><br></br>Lunar New Year's Eve is a traditional Chinese festival.";"🐇 魏无羡和蓝忘机在除夕一起准备年夜饭。";"<i>wèiwúxiàn hé lánwàngjī zài chúxī yīqǐ zhǔnbèi niányèfàn.</i><br></br>Wei Wuxian and Lan Wangji prepare the New Year's Eve dinner together."
"处理⠀";"chǔlǐ";"/to handle; to deal with/to punish/to treat sth by a special process; to process/to sell at reduced prices//to handle; to deal with/to punish/to treat sth by a special process; to process/to sell at reduced prices";"处 (reside)";"Other words using this character: 到处 (everywhere); 好处 (benefit); 相处 (get along)";"理 (texture)";"Other words using this character: 经理 (manager); 管理 (manage); 理发 (haircut); 理解 (comprehend); 理想 (ideal); 修理 (repair); 整理 (tidy up); 道理 (reason); 合理 (reasonable); 理论 (theory)";"❈ 我们需要处理这个问题。";"<i>wǒmen xūyào chǔlǐ zhège wèntí.</i><br></br>We need to deal with this issue.";"❈ 这个问题需要妥善处理。";"<i>zhège wèntí xūyào tuǒshànchǔlǐ.</i><br></br>This issue needs to be handled properly.";"❈ 他们处理了这批受损的商品。";"<i>tāmen chǔlǐ le zhèpī shòusǔn de shāngpǐn.</i><br></br>They processed the damaged goods.";"🐇 魏无羡擅长处理各种邪魔外道。";"<i>wèiwúxiàn shàncháng chǔlǐ gèzhǒng xiémówàidào.</i><br></br>Wei Wuxian is good at dealing with all kinds of evil spirits.";"♻🐇 温情处理家族的财务。";"<i>wēnqíng chǔlǐ jiāzú de cáiwù.</i><br></br>Wen Qing handles the family's financial affairs."
"传染⠀";"chuánrǎn";"/to infect/contagious//to infect/contagious";"传 (transmit)";"Other words using this character: 传真 (fax); 传统 (tradition); 流传 (spread); 传播 (disseminate); 传说 (legend); 宣传 (disseminate)";"染 (dye)";"Other words using this character: 污染 (pollute)";"❈ 他传染了很多人。";"<i>tā chuánrǎn le hěnduō rén.</i><br></br>He infected many people.";"❈ 这种疾病很容易传染。";"<i>zhèzhǒng jíbìng hěn róngyì chuánrǎn.</i><br></br>This disease is very contagious.";"❈ 她的病毒传染给了其他人。";"<i>tā de bìngdú chuánrǎngěi le qítārén.</i><br></br>Her virus infected others.";"❈ 他的感冒传染给了我。";"<i>tā de gǎnmào chuánrǎngěi le wǒ.</i><br></br>His cold infected me.";"❈ 这种疾病非常传染。";"<i>zhèzhǒng jíbìng fēicháng chuánrǎn.</i><br></br>This disease is very contagious."
"传统⠀";"chuántǒng";"/tradition/traditional/convention/conventional/CL:個|个[ge4]//tradition/traditional/convention/conventional/CL:个[gè]";"传 (transmit)";"Other words using this character: 传真 (fax); 传染 (infect); 流传 (spread); 传播 (disseminate); 传说 (legend); 宣传 (disseminate)";"统 (unite)";"Other words using this character: 统一 (unify); 系统 (system); 总统 (president)";"❈ 这个村庄有着悠久的传统。";"<i>zhège cūnzhuāng yǒuzhe yōujiǔ de chuántǒng.</i><br></br>This village has a long-standing tradition.";"❈ 这是我们家族的传统。";"<i>zhèshì wǒmen jiāzú de chuántǒng.</i><br></br>This is the tradition of our family.";"❈ 我们应该尊重传统文化。";"<i>wǒmen yīnggāi zūnzhòng chuántǒng wénhuà.</i><br></br>We should respect traditional culture.";"🐇 金凌尊重紫薇城的传统，从不随意打破。";"<i>jīnlíng zūnzhòng zǐwēi chéng de chuántǒng, cóngbù suíyì dǎpò.</i><br></br>Jin Ling respects the traditions of Koi Tower and never breaks them casually.";"♻❈ 送礼是中国人的一种传统习俗。";"<i>sònglǐ shì zhōngguó rén de yīzhǒng chuántǒngxísú.</i><br></br>Giving presents is a traditional custom of the Chinese."
"闯⠀";"chuǎng";"/to rush/to charge/to dash/to break through/to temper oneself (through battling hardships)//to rush/to charge/to dash/to break through/to temper oneself (through battling hardships)";"闯 (rush)";"There are no other HSK words in this level (or before) using this character.";"❈ 他一路闯关，最终成功了。";"<i>tā yīlù chuǎngguān, zuìzhōng chénggōng le.</i><br></br>He broke through all the obstacles along the way and finally succeeded.";"🐇 温宁在战场上勇敢地闯过重重阻碍。";"<i>wēnníng zài zhànchǎng shàng yǒnggǎn dìchuǎngguò zhòngzhòng zǔài.</i><br></br>Wen Ning bravely broke through numerous obstacles on the battlefield.";"♻🐇 魏无羡的调皮捣蛋总是让人留下深刻的印象，即使他经常闯祸。";"<i>wèiwúxiàn de tiáopídǎodàn zǒngshì ràng rén liúxià shēnkè de yìnxiàng, jíshǐ tā jīngcháng chuǎnghuò.</i><br></br>Wei Wuxian's mischievous antics always leave a deep impression, even though he often gets into trouble.";"♻❈ 他拦住了那个闯红灯的人。";"<i>tā lánzhù le nàgè chuǎnghóngdēng de rén.</i><br></br>He stopped the person who ran the red light.";"♻❈ 他立志要闯荡天下。";"<i>tā lìzhì yào chuǎngdàng tiānxià.</i><br></br>He is determined to travel all over the world."
"吹⠀";"chuī";"/to blow/to play a wind instrument/to blast/to puff/to boast/to brag/to end in failure/to fall through//to blow/to play a wind instrument/to blast/to puff/to boast/to brag/to end in failure/to fall through";"吹 (blow)";"There are no other HSK words in this level (or before) using this character.";"❈ 风吹得树叶哗哗作响。";"<i>fēngchuī déshù yèhuāhuā zuòxiǎng.</i><br></br>The wind blows, making the leaves rustle.";"❈ 他喜欢吹小号。";"<i>tā xǐhuan chuī xiǎohào.</i><br></br>He likes to play the trumpet.";"❈ 不要吹嘘你做不到的事情。";"<i>bùyào chuīxū nǐ zuò bùdào de shìqing.</i><br></br>Don't boast about things you can't do.";"🐇 蓝忘机吹响了战鼓，指挥着军队。";"<i>lánwàngjī chuīxiǎng le zhàngǔ, zhǐhuī zhe jūnduì.</i><br></br>Lan Wangji sounded the battle drum, commanding the army.";"♻❈ 他吹哨通知大家集合。";"<i>tā chuīshào tōngzhī dàjiā jíhé.</i><br></br>He blew the whistle to notify everyone to gather."
"此外⠀";"cǐwài";"/besides/in addition/moreover/furthermore//besides/in addition/moreover/furthermore";"此 (this)";"Other words using this character: 因此 (thus); 彼此 (each other); 从此 (from now on)";"外 (outside)";"Other words using this character: 外 (outside); 另外 (additional); 外公 (grandfather); 意外 (unexpected); 格外 (especially); 外交 (diplomacy)";"❈ 他很聪明，此外还很有创意。";"<i>tā hěn cōngming, cǐwài hái hěn yǒu chuàngyì.</i><br></br>He is very smart, moreover, he is very creative.";"❈ 我会做饭，此外还会打扫。";"<i>wǒhuì zuòfàn, cǐwài huánhuì dǎsǎo.</i><br></br>I can cook, besides, I can also clean.";"❈ 此外，我还需要你的帮助。";"<i>cǐwài, wǒ hái xūyào nǐ de bāngzhù.</i><br></br>Furthermore, I need your help.";"🐇 江澄擅长使剑，此外还精通酒道。";"<i>jiāngchéng shàncháng shǐjiàn, cǐwài hái jīngtōng jiǔdào.</i><br></br>Jiang Cheng is skilled in swordsmanship, furthermore, he is also proficient in the path of liquor."
"次要⠀";"cìyào";"/secondary//secondary";"次 (next)";"Other words using this character: 次 (next); 其次 (next)";"要 (demand)";"Other words using this character: 要 (demand); 需要 (need); 要求 (requirement); 重要 (important); 主要 (main); 要是 (if); 只要 (if only); 必要 (essential); 不要紧 (unimportant); 要不 (otherwise)";"❈ 次要的任务也很重要。";"<i>cìyào de rènwu yě hěn zhòngyào.</i><br></br>Secondary tasks are also important.";"❈ 这只是次要问题。";"<i>zhè zhǐshì cìyào wèntí.</i><br></br>This is just a secondary issue.";"❈ 他的工作是次要的。";"<i>tā de gōngzuò shì cìyào de.</i><br></br>His job is secondary.";"🐇 蓝曦臣总是把他人的需求放在次要位置。";"<i>lánxīchén zǒngshì bǎ tārén de xūqiú fàngzài cìyào wèizhi.</i><br></br>Lan Xichen always puts others' needs in a secondary position.";"♻❈ 这种药每次要服两粒。";"<i>zhèzhǒng yào měicì yàofú liǎnglì.</i><br></br>You need to take two pills each time for this medicine."
