我	wǒ	/I; me; my/
方	fāng	/square/power or involution (math.)/upright/honest/fair and square/direction/side/party (to a contract, dispute etc)/place/method/prescription (medicine)/just when/only or just/classifier for square things/abbr. for square or cubic meter/
仿佛	fǎngfú	/to seem/as if/alike/similar/
非	fēi	/to not be; not/wrong; incorrect/non-; un-; in-; de-/to reproach; to blame/(coll.) to insist on; simply must/
废话	fèihuà	/nonsense; rubbish; superfluous words/You don't say!; No kidding! (gently sarcastic)/
分别	fēnbié	/to part; to leave each other/to distinguish; to tell apart/difference; distinction/in different ways; differently/separately; individually/
分配	fēnpèi	/to distribute/to assign/to allocate/to partition (a hard drive)/
分析	fēnxī	/to analyze/analysis/CL:個|个[ge4]/
纷纷	fēnfēn	/one after another/in succession/one by one/continuously/diverse/in profusion/numerous and confused/pell-mell/
奋斗	fèndòu	/to strive; to struggle/
风格	fēnggé	/style/
风俗	fēngsú	/social custom/CL:個|个[ge4]/
疯狂	fēngkuáng	/crazy; frenzied; wild/
否定	fǒudìng	/to negate/to deny/to reject/negative (answer)/negation/
幅	fú	/width/roll/classifier for textiles or pictures/
服装	fúzhuāng	/dress/clothing/costume/clothes/CL:身[shen1]/
辅导	fǔdǎo	/to give guidance/to mentor/to counsel/to coach/to tutor/
妇女	fùnǚ	/woman/
改革	gǎigé	/reform/CL:次[ci4],種|种[zhong3],項|项[xiang4]/to reform/
改善	gǎishàn	/to make better; to improve/CL:個|个[ge4]/
盖	gài	/lid/top/cover/canopy/to cover/to conceal/to build/
概念	gàiniàn	/concept/idea/CL:個|个[ge4]/
干脆	gāncuì	/candid/direct and to the point/simply/just/might as well/
干燥	gānzào	/(of weather, climate, soil etc) dry; arid/(of skin, mouth etc) dry/(fig.) dull; dry; boring/(of timber etc) to dry out; to season; to cure/
感激	gǎnjī	/to be grateful/to appreciate/thankful/
感受	gǎnshòu	/to sense/perception/to feel (through the senses)/to experience/a feeling/an impression/an experience/
赶紧	gǎnjǐn	/hurriedly/without delay/
钢铁	gāngtiě	/steel/
高档	gāodàng	/superior quality/high grade/top grade/
搞	gǎo	/to do/to make/to go in for/to set up/to get hold of/to take care of/
格外	géwài	/especially/particularly/
个别	gèbié	/individually; one by one/just one or two; exceptional; rare/
个性	gèxìng	/individuality/personality/
根	gēn	/root/basis/classifier for long slender objects, e.g. cigarettes, guitar strings/CL:條|条[tiao2]/radical (chemistry)/
公布	gōngbù	/to announce; to make public; to publish/
公元	gōngyuán	/CE (Common Era)/Christian Era/AD (Anno Domini)/
公主	gōngzhǔ	/princess/
工程师	gōngchéngshī	/engineer/CL:個|个[ge4],位[wei4],名[ming2]/
工人	gōngrén	/worker/CL:個|个[ge4],名[ming2]/
恭喜	gōngxǐ	/to congratulate/(interj.) congratulations!/
贡献	gòngxiàn	/to contribute/to dedicate/to devote/contribution/CL:個|个[ge4]/
构成	gòuchéng	/to constitute/to form/to compose/to make up/to configure (computing)/
姑姑	gūgu	/paternal aunt/CL:個|个[ge4]/
古典	gǔdiǎn	/classical/
鼓舞	gǔwǔ	/heartening (news)/to boost (morale)/CL:個|个[ge4]/
股票	gǔpiào	/share certificate/stock (finance)/
固定	gùdìng	/to fix/to fasten/to set rigidly in place/fixed/set/regular/
挂号	guàhào	/to register (at a hospital etc)/to send by registered mail/
拐弯	guǎiwān	/to go round a curve/to turn a corner/fig. a new direction/
官	guān	/government official/governmental/official/public/organ of the body/CL:個|个[ge4]/
关闭	guānbì	/to close; to shut (a window etc)/(of a shop, school etc) to shut down/
观点	guāndiǎn	/point of view/viewpoint/standpoint/CL:個|个[ge4]/
管子	guǎnzi	/tube/pipe/drinking straw/CL:根[gen1]/
光临	guānglín	/(formal) to honor with one's presence/to attend/
光盘	guāngpán	/compact disc (CD); DVD; CD-ROM/CL:片[pian4],張|张[zhang1]/
广场	guǎngchǎng	/public square; plaza/
广泛	guǎngfàn	/wide; broad; extensive; widespread/
规矩	guīju	/lit. compass and set square/fig. established standard/rule/customs/practices/fig. upright and honest/well-behaved/
规模	guīmó	/scale/scope/extent/CL:個|个[ge4]/
归纳	guīnà	/to sum up/to summarize/to conclude from facts/induction (method of deduction in logic)/
柜台	guìtái	/variant of 櫃檯|柜台[gui4 tai2]/
锅	guō	/pot; pan; wok; cauldron/pot-shaped thing/CL:口[kou3],隻|只[zhi1]/
国王	guówáng	/king/CL:個|个[ge4]/
果然	guǒrán	/really/sure enough/as expected/if indeed/
过分	guòfèn	/excessive/undue/overly/
过期	guòqī	/to be overdue/to exceed the time limit/to expire (as in expiration date)/
哈	hā	/a Pekinese; a pug/(dialect) to scold/
海关	hǎiguān	/customs (i.e. border crossing inspection)/CL:個|个[ge4]/
喊	hǎn	/to yell/to shout/to call out for (a person)/
行业	hángyè	/trade; profession; industry; business/
好客	hàokè	/hospitality/to treat guests well/to enjoy having guests/hospitable/friendly/
和平	hépíng	/peace/peaceful/
何况	hékuàng	/let alone/to say nothing of/besides/what's more/
合影	héyǐng	/to take a joint photo/group photo/
核心	héxīn	/core; nucleus/
后果	hòuguǒ	/consequences/aftermath/
忽然	hūrán	/suddenly; all of a sudden/
呼吸	hūxī	/to breathe/
蝴蝶	húdié	/butterfly/CL:隻|只[zhi1]/
胡同	hútòng	/variant of 胡同[hu2 tong4]/
华裔	huáyì	/ethnic Chinese/non-Chinese citizen of Chinese ancestry/
滑	huá	/to slip; to slide/slippery; smooth/sly; slippery; not to be trusted/
化学	huàxué	/chemistry/chemical/
缓解	huǎnjiě	/to bring relief/to alleviate (a crisis)/to dull (a pain)/
幻想	huànxiǎng	/to fantasize; to imagine/an illusion; a fantasy/
挥	huī	/to wave/to brandish/to command/to conduct/to scatter/to disperse/
灰尘	huīchén	/dust/
恢复	huīfù	/to reinstate/to resume/to restore/to recover/to regain/to rehabilitate/
汇率	huìlǜ	/exchange rate/
婚姻	hūnyīn	/marriage; matrimony/CL:樁|桩[zhuang1],次[ci4]/
火柴	huǒchái	/match (for lighting fire)/CL:根[gen1],盒[he2]/
激烈	jīliè	/(of competition or fighting) intense/fierce/(of pain) acute/(of an expression of opinion) impassioned/vehement/(of a course of action) drastic/extreme/
肌肉	jīròu	/muscle/flesh/
极其	jíqí	/extremely/
集体	jítǐ	/collective (decision)/joint (effort)/a group/a team/en masse/as a group/
急忙	jímáng	/hastily/
记录	jìlù	/to record/record (written account)/note-taker/record (in sports etc)/CL:個|个[ge4]/
计算	jìsuàn	/to count/to calculate/to compute/CL:個|个[ge4]/
系领带	jìlǐngdài	to tie a necktie; wear a tie
纪律	jìlǜ	/discipline/
寂寞	jìmò	/lonely/lonesome/(of a place) quiet/silent/
家庭	jiātíng	/family/household/CL:戶|户[hu4],個|个[ge4]/
家乡	jiāxiāng	/hometown/native place/CL:個|个[ge4]/
夹子	jiāzi	/clip/clamp/tongs/folder/wallet/
假设	jiǎshè	/to suppose/to presume/to assume/supposing that .../if/hypothesis/conjecture/
嫁	jià	/(of a woman) to marry/to marry off a daughter/to shift (blame etc)/
价值	jiàzhí	/value/worth/fig. values (ethical, cultural etc)/CL:個|个[ge4]/
肩膀	jiānbǎng	/shoulder/
坚决	jiānjué	/firm; resolute; determined/
艰巨	jiānjù	/arduous/terrible (task)/very difficult/formidable/
兼职	jiānzhí	/to hold concurrent posts/concurrent job/moonlighting/
简历	jiǎnlì	/curriculum vitae (CV)/résumé/biographical notes/
剪刀	jiǎndāo	/scissors/CL:把[ba3]/
建立	jiànlì	/to establish/to set up/to found/
讲究	jiǎngjiu	/to pay particular attention to/carefully selected for quality/tastefully chosen/
交际	jiāojì	/communication/social intercourse/
胶水	jiāoshuǐ	/glue/
狡猾	jiǎohuá	/crafty; cunning; sly/
教练	jiàoliàn	/instructor/sports coach/trainer/CL:個|个[ge4],位[wei4],名[ming2]/
接触	jiēchù	/to touch/to contact/access/in touch with/
接近	jiējìn	/to approach; to get close to/
阶段	jiēduàn	/stage/section/phase/period/CL:個|个[ge4]/
戒指	jièzhi	/(finger) ring/
金属	jīnshǔ	/metal/CL:種|种[zhong3]/
进口	jìnkǒu	/to import/imported/entrance/inlet (for the intake of air, water etc)/
尽力	jìnlì	/to strive one's hardest; to spare no effort/
精力	jīnglì	/energy/
经商	jīngshāng	/to trade/to carry out commercial activities/in business/
经营	jīngyíng	/to engage in (business etc); to run; to operate/
酒吧	jiǔbā	/bar/pub/saloon/CL:家[jia1]/
救护车	jiùhùchē	/ambulance/CL:輛|辆[liang4]/
居然	jūrán	/unexpectedly/to one's surprise/go so far as to/
具体	jùtǐ	/concrete; specific; detailed/
俱乐部	jùlèbù	/club (the organisation or its premises) (loanword)/CL:個|个[ge4]/
据说	jùshuō	/it is said that; reportedly/
捐	juān	/to relinquish; to abandon/to contribute; to donate/(bound form) tax; levy/
决心	juéxīn	/determination/resolution/determined/firm and resolute/to make up one's mind/CL:個|个[ge4]/
角色	juésè	/role; part (in a play or movie etc)/
均匀	jūnyún	/even/well-distributed/homogeneous/well-proportioned (figure, body etc)/
卡车	kǎchē	/truck/CL:輛|辆[liang4]/
开发	kāifā	/to exploit (a resource); to open up (for development); to develop/
开幕式	kāimùshì	/opening ceremony/
看望	kànwàng	/to pay a visit to; to see (sb)/
靠	kào	/to lean against or on/to stand by the side of/to come near to/to depend on/to trust/to fuck (vulgar)/traditional military costume drama where the performers wear armor (old)/
颗	kē	/classifier for small spheres, pearls, corn grains, teeth, hearts, satellites etc/
可靠	kěkào	/reliable/
课程	kèchéng	/course/academic program/CL:堂[tang2],節|节[jie2],門|门[men2]/
克服	kèfú	/(try to) overcome (hardships etc)/to conquer/to put up with/to endure/
刻苦	kèkǔ	/hardworking/assiduous/
空间	kōngjiān	/space; room/(fig.) scope; leeway/(astronomy) outer space/(physics, math.) space/
空闲	kòngxián	/leisure; spare time/(of a person) free; unoccupied/(of equipment, rooms etc) unoccupied; unused; idle; vacant; spare/
夸张	kuāzhāng	/to exaggerate/overstated; exaggerated/hyperbole/(coll.) excessive; ridiculous; outrageous/
会计	kuàijì	/accountant/accountancy/accounting/
宽	kuān	/wide/broad/loose/relaxed/lenient/
昆虫	kūnchóng	/insect/CL:隻|只[zhi1],群[qun2],堆[dui1]/
拦	lán	/to block sb's path/to obstruct/to flag down (a taxi)/
朗读	lǎngdú	/to read aloud/
劳驾	láojià	/excuse me/
老百姓	lǎobǎixìng	/ordinary people/the "person in the street"/CL:個|个[ge4]/
老实	lǎoshi	/honest; sincere/well-behaved/naive; gullible/
老婆	lǎopó	/(coll.) wife/
乐观	lèguān	/optimistic; hopeful/
雷	léi	/thunder/(bound form) (military) mine, as in 地雷[di4 lei2] land mine/(coll.) to shock; to stun; to astound/(Tw) (coll.) spoiler/(Tw) (coll.) to reveal plot details to (sb)/
类型	lèixíng	/type; kind; category/(computer programming) type/
冷淡	lěngdàn	/cold/indifferent/
梨	lí	/pear/CL:個|个[ge4]/
离婚	líhūn	/to divorce/
厘米	límǐ	/centimeter/
立即	lìjí	/immediately/
利润	lìrùn	/profits/
利益	lìyì	/benefit/(in sb's) interest/CL:個|个[ge4]/
连续	liánxù	/continuous/in a row/serial/consecutive/
恋爱	liàn’ài	/(romantic) love/CL:個|个[ge4],場|场[chang3]/in love/to have an affair/
良好	liánghǎo	/good/favorable/well/fine/
粮食	liángshi	/foodstuff/cereals/CL:種|种[zhong3]/
亮	liàng	/bright; light/to shine; to flash/loud and clear/to show (one's passport etc); to make public (one's views etc)/
铃	líng	/(small) bell/CL:隻|只[zhi1]/
零件	língjiàn	/part/component/
零食	língshí	/between-meal nibbles/snacks/
领导	lǐngdǎo	/lead/leading/to lead/leadership/leader/CL:位[wei4],個|个[ge4]/
流泪	liúlèi	/to shed tears/
陆续	lùxù	/in turn/successively/one after the other/bit by bit/
录音	lùyīn	/to record (sound)/sound recording/CL:個|个[ge4]/
轮流	lúnliú	/to alternate; to take turns/
逻辑	luóji	/logic (loanword)/
馒头	mántou	/steamed bun/
毛病	máobìng	/fault/defect/shortcomings/ailment/CL:個|个[ge4]/
矛盾	máodùn	/contradiction/CL:個|个[ge4]/conflicting views/contradictory/
贸易	màoyì	/(commercial) trade/CL:個|个[ge4]/
媒体	méitǐ	/media, esp. news media/
煤炭	méitàn	/coal/
魅力	mèilì	/charm/fascination/glamor/charisma/
梦想	mèngxiǎng	/(fig.) to dream of/dream/
蜜蜂	mìfēng	/bee/honeybee/CL:隻|只[zhi1],群[qun2]/
密切	mìqiè	/close/familiar/intimate/closely (related)/to foster close ties/to pay close attention/
秘书	mìshū	/secretary/
面积	miànjī	/area (of a floor, piece of land etc)/surface area/tract of land/
描写	miáoxiě	/to describe/to depict/to portray/description/
敏感	mǐngǎn	/sensitive/susceptible/
明星	míngxīng	/star; celebrity/
名片	míngpiàn	/(business) card/
命运	mìngyùn	/fate; destiny/CL:個|个[ge4]/
模仿	mófǎng	/to imitate/to copy/to emulate/to mimic/model/
模特	mótè	/(fashion) model (loanword)/
陌生	mòshēng	/strange/unfamiliar/
目前	mùqián	/at the present time/currently/
难怪	nánguài	/(it's) no wonder (that...)/(it's) not surprising (that)/
内部	nèibù	/interior/inside (part, section)/internal/
嗯	en	/interjection indicating approval, appreciation or agreement/
念	niàn	/to read/to study (a subject)/to attend (a school)/to read aloud/to give (sb) a tongue-lashing (CL:頓|顿[dun4])/to miss (sb)/idea/remembrance/twenty (banker's anti-fraud numeral corresponding to 廿[nian4])/
浓	nóng	/concentrated/dense/strong (smell etc)/
农民	nóngmín	/peasant; farmer/
欧洲	Ōuzhōu	/Europe (abbr. for 歐羅巴洲|欧罗巴洲[Ou1 luo2 ba1 Zhou1])/
偶然	ǒurán	/incidentally/occasional/occasionally/by chance/randomly/
拍	pāi	/to pat/to clap/to slap/to swat/to take (a photo)/to shoot (a film)/racket (sports)/beat (music)/
盼望	pànwàng	/to hope for; to look forward to/
培训	péixùn	/to cultivate/to train/to groom/training/
佩服	pèifu	/to admire/
盆	pén	/basin/flower pot/unit of volume equal to 12 斗[dou3] and 8 升[sheng1], approx 128 liters/CL:個|个[ge4]/
碰	pèng	/old variant of 碰[peng4]/
批	pī	/to ascertain/to act on/to criticize/to pass on/classifier for batches, lots, military flights/tier (for the ranking of universities and colleges)/
批准	pīzhǔn	/to approve; to ratify/
疲劳	píláo	/fatigue/wearily/weariness/weary/
匹	pǐ	/variant of 匹[pi3]/classifier for cloth: bolt/
片	piàn	/thin piece/flake/a slice/film/TV play/to slice/to carve thin/partial/incomplete/one-sided/classifier for slices, tablets, tract of land, area of water/classifier for CDs, movies, DVDs etc/used with numeral 一[yi1]: classifier for scenario, scene, feeling, atmosphere, sound etc/Kangxi radical 91/
飘	piāo	/to float (in the air); to flutter; to waft/complacent; frivolous/weak; shaky; wobbly/
频道	píndào	/frequency/(television) channel/
凭	píng	/to lean against/to rely on/on the basis of/no matter (how, what etc)/proof/
平安	píng’ān	/safe and sound/well/without mishap/quiet and safe/at peace/
平等	píngděng	/equal/equality/
平衡	pínghéng	/balance/equilibrium/
平均	píngjūn	/average; on average/evenly; in equal proportions/
破产	pòchǎn	/to go bankrupt/to become impoverished/bankruptcy/
迫切	pòqiè	/urgent; pressing/
期间	qījiān	/period of time/time/time period/period/CL:個|个[ge4]/
其余	qíyú	/the rest/the others/remaining/remainder/apart from them/
企业	qǐyè	/company; firm; enterprise; corporation/CL:家[jia1]/
前途	qiántú	/prospects/future outlook/journey/
欠	qiàn	/to owe/to lack/(literary) to be deficient in/(bound form) yawn/to raise slightly (a part of one's body)/
墙	qiáng	/wall (CL:面[mian4],堵[du3])/(slang) to block (a website) (usu. in the passive: 被牆|被墙[bei4 qiang2])/
强烈	qiángliè	/strong; intense/
切	qiē	/definitely; absolutely (not)/(scoffing or dismissive interjection) Yeah, right.; Tut!/to grind/(bound form) close to/(bound form) eager/to correspond to/(used to indicate that the fanqie 反切[fan3 qie4] system should be applied to the previous two characters)/
亲自	qīnzì	/personally/in person/oneself/
青	qīng	/green/blue/black/youth/young (of people)/
青少年	qīngshàonián	/adolescent/youth/teenager/
轻易	qīngyì	/easy; simple/rashly; offhandedly/
清淡	qīngdàn	/light (of food, not greasy or strongly flavored)/insipid/slack (sales)/
情景	qíngjǐng	/scene; spectacle/circumstances; situation/
情绪	qíngxù	/mood/state of mind/moodiness/CL:種|种[zhong3]/
庆祝	qìngzhù	/to celebrate/
娶	qǔ	/to take a wife/to marry (a woman)/
